0,0,0.0029921,0,0,0,0,0,0.00082533,0,0,0,0,0,0,0,0,0,1.3333e-06,0,1.3333e-05,0.00049733,0.00018519,0.00042643,0.0016836,8.138e-05,0.001,0.00019867,0,0,0.00097156,0.0006,2.2222e-05,0,0.00032692,0,0,0,0.0028427,0.00025867,7.0571e-05,0,0.00017474,0.00021467,0.002936,0.0015916,0.00011111,0.0015667,0,0,0.0032258,0,5.0667e-05,0,9.0667e-05,0,0.001226,0,1.4667e-05,4.9333e-05,0.0001,0,0.00036267,0,0.00015248,0,0.00010933,0,0,0,8.7092e-05,0,0.011887,0.0024813,0,0,0,0,0.0026593,0,0,0,0.00010121,0,0.00026667,0,0.0019813,0.0012574,1.497e-06,0.0019081,0,1.6129e-05,0.00049102,0,0,0,0,0,3.5807e-05,0.00055556,0,0,0,0.002168,0.00716,0.0044467,0.0015666,0.007216,0.0015864,0.014511,0.0011747,0.00084,0.0080919,0.0031787,0.013431,0.0010213,0.013761,0.003088,0.0031867,0.05,0,0,0.012432,0.019275,0.0016022,0,0.017513,0.0064545,0,0.028812,0.018852,0.00019073,0.0010071,0.029366,0.003656,0.0064198,0,0.0011222,0.011677,0.022697,0,0,0,0,0.0010536,0,0,0.002196,0,0,0,0,0,0,0,6.6667e-06,0.0013752,0,0,0.00028691
0,0,0,8.8443e-06,1.0204e-06,1.7964e-05,0,0,0,0,0,1.1598e-05,0.000696,0,0.0014956,0.0072024,0.012212,1.8182e-05,2.6667e-06,0,4.9333e-05,0,0,0,2.9851e-06,0,0,6.4e-05,0,0,9.8802e-05,0,0,0,0.00016864,0,0,0,0,0,0.00023574,0,0,0,0,0,0,0,0.00019709,6.7204e-06,0,0,0,3.8922e-05,0,0,0,0,0,0,0,0,3.7333e-05,0.00010859,0,0,0,0,0,0,1.8335e-05,0.0002,0.00012,5.8458e-05,0,0,0,0,0,0,0.001912,0.00076632,0,0.00095195,0,0.0016053,0,8.245e-05,0,0,0.00063477,0.0022238,0,0,0.00028667,0,9.7333e-05,0,1.3021e-05,0.014299,0,0,0,0,0,0,4.6742e-05,0,0,0,0,0,0,0,0,3.7333e-05,0,0,1.3333e-06,0,0.0016937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6294e-06,0,0,0,0,0,0,0,0,0,0,1.8e-06,0,0.0014771,0,0,0,0,0.0021209,0,0,0,3.8806e-05,0.00011242
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9297e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018413,0.000156,0,0,0,0,3.6e-05,0.00010024,0.0081348,0,0.00050133,0.00020573,2.1739e-05,4e-06,0,0.00026933,0,0.023072,0.00041667,0,0,3.5821e-05,0,0,0.000464,0,0,0,0,9.4667e-05,0,1.7668e-05,0,0,0.0008724,0.00018952,0.00012126,0,0,0,0.005668,0,0,0.00035655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0606e-06,0,0,0,0,0,0,4.8658e-05
0,5.9701e-05,0,0,0.003048,0,0,0,0.00097067,0,0.0076213,0.0038157,0,0,0,0.022601,0.00014133,0.00079273,0,0,0.0016613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011747,0,0,3.003e-06,0,0,0,0,0,0,0,0,0,0,1.3333e-06,0,0.00097455,0,0,0,5.3333e-06,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-05,5.6e-05,8.3333e-05,0,0,0,0,0,0,0,0,4.763e-05,0,0,0,0,0,0,0,0,0,0,0,0.001308,3.1646e-05,0,0,0,0.00094113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025406,0.0037384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1556e-05,0,0,0.00016611
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025067,0,0,0,0,0,0,0.00028358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00047086,0.00036119,0.0007694,0.0011733,0.00049592,3.1437e-05,0.00048165,0,0.00066,0.00076667,0.00064,0.00060438,0.00055733,0.00059067,0.0010034,0.00073661,0.00017867,0.00089818,0.000284,0.00047455,0.00063467,0.00060533,0.00074815,0.0011979,0.00076269,0.00096029,0.0011944,0.00067067,0.00066267,0.0011185,0.00074251,0.00059733,0.00055185,0.00066133,0.00073225,0.000664,0.000664,0.00066133,0.000664,0.00059733,0.00038288,0.00056857,0.00088691,0.000604,0.00051467,0.0002093,0.0011,0.00038519,0.00065873,0.00019624,6.9522e-06,0.00048533,0.000292,0.00075749,0.00058933,0.00074925,0.00046257,0.00061467,0.00036667,0.00041467,1.4667e-05,0.00079602,0.00064,0.001441,0,0.00056119,0.00066133,0.001263,0.00046377,6.8e-05,0.00020627,0.00067333,2.8e-05,7.4627e-06,0.00061756,0.00014933,0.00087418,0.00029403,0.00078148,0.000596,0.00054533,0.00065013,0.00076804,0.00073273,0.000472,0.00064133,0.00046933,0.00078622,0.0007485,0.0010826,0.00062174,0.00049597,0.00074401,0.000656,0.00048,0.00078639,5.6e-05,0.00065867,0.00056966,0.00048922,0.00065067,0.000664,0.00071347,8.2667e-05,0.00066,0.000664,0.00049717,0.000664,2.6749e-05,7.3051e-05,0,1.0667e-05,0.0007244,0.000664,0.00043218,0.000652,0.000664,0.00066,0.00065867,0.00046353,0.00079346,0.00027847,0,0.00052401,0.00096512,0.00067139,0.0009613,0,0.00094986,0.00096893,0.0006218,0,0,0.00096512,0.00066133,0.00078302,0.00075912,0,0.00024796,0,0.00070615,0.00080625,0.00086656,0.00073854,0.00012985,0.000664,0.00046165,0.00077039,0.00099487,0.0013448,0.000544,0.00053467,0.00093788,0.00065957,0.00061949,0.00061333,0.00021092,0.00092966,0.00073731,4.5302e-05
0,0,0.00058774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9552e-06,0,0,0,0,0,0,0,0,0.00014133,0,0,0,0,0,2.6667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026133,1.8657e-05,0,0,0,0,0,0,1.0667e-05,0,0,0,0,0,0,0,0,0,9.7656e-06,0,0,0,0,0,0,0,0,7.8773e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027817,0,0,0,0,0,0,0,0,0,0.01609,0,0,0,0,0,0.003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056133,0,0,0,0.0027685
0,0,4.4882e-05,2.9481e-06,0.00042551,0,0.014133,0,0.00025867,0.0057542,0.0013493,0,0.00086667,0,0,0,6.6667e-06,0,0.0013747,6.2874e-05,2.1333e-05,0,0.0016148,9.7656e-06,0.00032388,0.013558,0.0028611,0.001636,2.4e-05,0.0075593,1.497e-06,0.0031427,0.00016296,0.00093867,0.0010562,0.00051467,0.000272,0.00063067,0,0.0014627,0.00048649,0.0056486,0.007125,0.007384,0.000996,9.593e-05,0.011852,0.00043704,0.0069802,0.0001828,0.002395,0.006944,0.011011,0.00073204,0.004532,0.0013784,0.011853,0.0028613,0.001768,0.006796,6.2667e-05,0,1.4667e-05,0.0001963,0,6.7164e-05,0.0052787,0.00011458,0.00017029,2.6667e-06,0.00012835,2.5333e-05,0.00010533,5.8458e-05,0,9.7333e-05,0,0.0003806,4.4444e-05,0.0063347,0.00024533,0.0001436,0,0,0.001048,0.0047533,0.0011893,0.00019435,0.0003009,0,0,0.000125,0.00032934,0.000768,0.00043333,0.024657,7.0667e-05,0.010329,0,0,3.7333e-05,0,0,4.5333e-05,0,0,0.0041615,6.5333e-05,0.0054486,1.461e-05,0,0.041012,0.010652,0,0.012068,0.0022973,0.000188,0,7.2e-05,0,7.6294e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011333,0,0,0,0.019304,0.010665,0.020105,0.0085391,0,0.022555,0.014956,0.027997,0.058756,0.0021421,0.028721,0.000248,0,0.002379,0.0049991,0.018233,0.00064938,0.0056897,0.064455,0.00074497
0,0.00012388,0.001013,0,0,0,0,0,0.00069867,0.0010167,0,0,0.00049067,0,0,0,0,0,0.006368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010973,0,1.0667e-05,0,0,0.00061862,0,0,0,0,0,0,0,0,0,0,0,0,2.2455e-05,0.00074267,0,0,0.0022973,0.000784,0,0.00012933,0,0,0,0,0,0,0,0,0,0,0.00018,0.00078267,4.3532e-05,0,0,0,0,0.0088074,0,0,0,0,0,0,1.4667e-05,0,0,4.491e-06,0,0.00010417,4.8387e-05,0.00035329,0,0.000128,0,0,0,0,0.00018657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022604,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
